neighbourhood_name,latitude,longitude,room_type,bathrooms,bedrooms,price,last_review_date,review_scores_rating,country,city,insert_date,PUBLICADO_POR
Betero,39.47149,-0.3346,Casa o Departamento,2.0,3.0,90.0,19-08-2019,100.0,España,Valencia,31-12-2019,Agoda
La nova esquerra de l'eixample,41.38353,2.15388,Habitación privada,1.0,1.0,100.0,06-03-2015,80.0,España,Barcelona,12-01-2021,Kayak
El plantío,40.46614,-3.80948,Casa o Departamento,3.0,5.0,220.0,,nan,España,Madrid,10-01-2020,Flipkey
Palos de moguer,40.40507011669014,-3.693182634598127,Habitación privada,1.0,1.0,200.0,,nan,España,Madrid,14-01-2019,Kayak
L'escala,42.10782265163368,3.141601421913332,Casa o Departamento,4.0,5.0,143.0,11-08-2018,84.0,España,Girona,20-10-2018,Tripadvisor
Vista alegre,40.38349,-3.74807,Habitación privada,1.0,1.0,31.0,22-02-2020,95.0,España,Madrid,17-10-2020,Airbnb
Lista,40.43442,-3.67562,Habitación privada,1.0,1.0,40.0,05-05-2019,80.0,España,Madrid,14-05-2019,Homeaway
Palos de moguer,40.40373,-3.69503,Casa o Departamento,1.0,2.0,65.0,25-02-2019,91.0,España,Madrid,19-09-2019,Flipkey
Palafrugell,41.91682,3.16875,Casa o Departamento,4.0,4.0,111.0,,nan,España,Girona,28-05-2020,Booking
Cuatro caminos,40.452958542041614,-3.701970768287102,Casa o Departamento,1.0,1.0,55.0,31-10-2017,96.0,España,Madrid,17-01-2018,Expedia
L'escala,42.11475,3.14011,Casa o Departamento,1.0,2.0,89.0,,nan,España,Girona,29-05-2019,Airbnb
Centro,36.7152,-4.42381,Casa o Departamento,1.0,2.0,75.0,01-01-2020,92.0,España,Malaga,31-05-2020,Airbnb
El poble sec,41.373732937770704,2.147654785807498,Habitación privada,2.0,1.0,35.0,22-08-2017,100.0,España,Barcelona,13-11-2017,Agoda
Les tendetes,39.48535,-0.38751,Casa o Departamento,1.0,3.0,42.0,18-03-2019,91.0,España,Valencia,31-03-2019,Homeaway
La nova esquerra de l'eixample,41.37938,2.14547,Habitación privada,1.0,1.0,32.0,11-03-2020,81.0,España,Barcelona,06-11-2020,Homeaway
Ciutadella de menorca,39.97489638341202,3.839562319926857,Casa o Departamento,2.0,3.0,130.0,15-09-2018,80.0,España,Menorca,27-11-2018,Booking
Palma de mallorca,39.64776495659569,2.625569388711025,Casa o Departamento,1.0,2.0,67.0,30-10-2018,84.0,España,Mallorca,20-11-2018,Booking
Justicia,40.42565,-3.69974,Habitación privada,2.0,1.0,50.0,17-10-2019,90.0,España,Madrid,09-11-2019,Flipkey
San diego,40.3948800922717,-3.663774025872962,Habitación privada,1.0,1.0,18.0,05-11-2018,80.0,España,Madrid,07-11-2018,Homeaway
"Sant pere, santa caterina i la ribera",41.38304,2.18115,Casa o Departamento,2.0,2.0,71.0,01-03-2019,100.0,España,Barcelona,10-04-2019,Expedia
El perellonet,39.30363,-0.28995,Casa o Departamento,2.0,4.0,74.0,09-12-2018,91.0,España,Valencia,28-02-2019,Kayak
Pinar del rey,40.47292,-3.65206,Casa o Departamento,3.0,2.0,90.0,08-03-2020,88.0,España,Madrid,17-12-2020,Kayak
Puerta del angel,40.41219,-3.72596,Habitación privada,1.0,1.0,nan,,nan,España,Madrid,10-12-2019,Homeaway
Pacífico,40.40513,-3.67984,Casa o Departamento,1.0,2.0,65.0,15-07-2018,84.0,España,Madrid,12-01-2021,Flipkey
El poble sec,41.37311315310751,2.1652784622094527,Habitación privada,1.0,1.0,32.0,21-12-2017,100.0,España,Barcelona,17-01-2018,Tripadvisor
Centro,36.71596,-4.42377,Casa o Departamento,2.0,2.0,129.0,16-01-2017,96.0,España,Malaga,31-03-2019,Booking
Sant antoni,41.3789,2.15535,Habitación privada,2.0,1.0,36.0,,nan,España,Barcelona,10-07-2019,Booking
Vallcarca i els penitents,41.41498444885714,2.144910081873344,Casa o Departamento,1.0,3.0,155.0,27-06-2018,97.0,España,Barcelona,10-07-2018,Kayak
Calonge,41.86007,3.09341,Casa o Departamento,3.0,5.0,200.0,17-08-2019,75.0,España,Girona,30-04-2020,Airbnb
Tossa de mar,41.70992,2.8908,Casa o Departamento,1.0,3.0,84.0,,nan,España,Girona,26-03-2020,Airbnb
El poblenou,41.402758386565694,2.1987322861604244,Habitación privada,1.0,1.0,23.0,,nan,España,Barcelona,04-01-2017,Homeaway
Sol,40.4144216828161,-3.70721314333378,Habitación privada,2.0,2.0,49.0,22-08-2018,100.0,España,Madrid,11-09-2018,Flipkey
La sagrada família,41.40682,2.17859,Habitación privada,2.0,1.0,59.0,04-11-2019,95.0,España,Barcelona,10-12-2019,Kayak
Roses,42.24436369701989,3.2009960270975544,Casa o Departamento,4.0,5.0,142.0,09-06-2018,90.0,España,Girona,26-11-2018,Flipkey
Santa margalida,39.76067,3.15073,Casa o Departamento,2.0,2.0,150.0,07-08-2019,80.0,España,Mallorca,25-06-2020,Agoda
Puigcerdà,42.43526410516678,1.926840077500064,Casa o Departamento,2.0,3.0,80.0,01-04-2018,96.0,España,Girona,31-07-2018,Agoda
