name,neighbourhood_name,latitude,longitude,room_type,bathrooms,bedrooms,price,last_review_date,review_scores_rating,country,city,insert_date
Piso reformado excelente ubicacion,Betero,"39,47149","-0,3346",Entire home/apt,"2,0","3,0","90,0",2019-08-19,"100,0",España,Valencia,2019-12-31
Nice Room in a Penthouse,La nova esquerra de l'eixample,"41,38353","2,15388",Private room,"1,0","1,0","100,0",2015-03-06,"80,0",España,Barcelona,2021-01-12
Spacious villa for rent with private pool,L'escala,"42,10782265163368","3,141601421913332",Entire home/apt,"4,0","5,0","143,0",2018-08-11,"84,0",España,Girona,2018-10-20
Habitación en Madrid! <<Wifi>>Perfecto para 2!!!,Vista alegre,"40,38349","-3,74807",Private room,"1,0","1,0","31,0",2020-02-22,"95,0",España,Madrid,2020-10-17
HABITACIÓN EN BARRIO DE SALAMANCA,Lista,"40,43442","-3,67562",Private room,"1,0","1,0","40,0",2019-05-05,"80,0",España,Madrid,2019-05-14
Madrid Central flat - Reina Sofía,Palos de moguer,"40,40373","-3,69503",Entire home/apt,"1,0","2,0","65,0",2019-02-25,"91,0",España,Madrid,2019-09-19
Apartamento luminoso,Cuatro caminos,"40,452958542041614","-3,701970768287102",Entire home/apt,"1,0","1,0","55,0",2017-10-31,"96,0",España,Madrid,2018-01-17
iloftmalaga SoHo II,Centro,"36,7152","-4,42381",Entire home/apt,"1,0","2,0","75,0",2020-01-01,"92,0",España,Malaga,2020-05-31
Can Gran Via,El poble sec,"41,373732937770704","2,147654785807498",Private room,"2,0","1,0","35,0",2017-08-22,"100,0",España,Barcelona,2017-11-13
"Flat bonito, nuevo y tranquilo CENTRO",Les tendetes,"39,48535","-0,38751",Entire home/apt,"1,0","3,0","42,0",2019-03-18,"91,0",España,Valencia,2019-03-31
Lujosa  Habitacion De Matrimonio Con WiFi,La nova esquerra de l'eixample,"41,37938","2,14547",Private room,"1,0","1,0","32,0",2020-03-11,"81,0",España,Barcelona,2020-11-06
Villa With Private Pool And Built BBQ,Ciutadella de menorca,"39,97489638341202","3,839562319926857",Entire home/apt,"2,0","3,0","130,0",2018-09-15,"80,0",España,Menorca,2018-11-27
APARTAMENTO-ESPORLES,Palma de mallorca,"39,64776495659569","2,625569388711025",Entire home/apt,"1,0","2,0","67,0",2018-10-30,"84,0",España,Mallorca,2018-11-20
Spacious n´bright room in Madrid Center,Justicia,"40,42565","-3,69974",Private room,"2,0","1,0","50,0",2019-10-17,"90,0",España,Madrid,2019-11-09
Bienvenidos/as a vuestro hogar,San diego,"40,3948800922717","-3,663774025872962",Private room,"1,0","1,0","18,0",2018-11-05,"80,0",España,Madrid,2018-11-07
NEW LUXURIOUS APARTMENT  -  VINE A CASA  2,"Sant pere, santa caterina i la ribera","41,38304","2,18115",Entire home/apt,"2,0","2,0","71,0",2019-03-01,"100,0",España,Barcelona,2019-04-10
Primera línea de playa. Ideal Familias! WIFI!,El perellonet,"39,30363","-0,28995",Entire home/apt,"2,0","4,0","74,0",2018-12-09,"91,0",España,Valencia,2019-02-28
2BDR duplex for 9px in Hortaleza near metro,Pinar del rey,"40,47292","-3,65206",Entire home/apt,"3,0","2,0","90,0",2020-03-08,"88,0",España,Madrid,2020-12-17
MADRID CENTRO/MUSEOS - RETIRO. JUNTO METRO Y AVE.,Pacífico,"40,40513","-3,67984",Entire home/apt,"1,0","2,0","65,0",2018-07-15,"84,0",España,Madrid,2021-01-12
"Charming, comfy & central dbl room",El poble sec,"41,37311315310751","2,1652784622094527",Private room,"1,0","1,0","32,0",2017-12-21,"100,0",España,Barcelona,2018-01-17
San Lorenzo - Holiday home in Malaga,Centro,"36,71596","-4,42377",Entire home/apt,"2,0","2,0","129,0",2017-01-16,"96,0",España,Malaga,2019-03-31
"Relax in a Chic, Modern Apartment near Park Güell",Vallcarca i els penitents,"41,41498444885714","2,144910081873344",Entire home/apt,"1,0","3,0","155,0",2018-06-27,"97,0",España,Barcelona,2018-07-10
"Villa Frasco met zwembad,tennis",Calonge,"41,86007","3,09341",Entire home/apt,"3,0","5,0","200,0",2019-08-17,"75,0",España,Girona,2020-04-30
big  room &Private toilet in plaza mayor,Sol,"40,4144216828161","-3,70721314333378",Private room,"2,0","2,0","49,0",2018-08-22,"100,0",España,Madrid,2018-09-11
"Double Bedroom / Private bathroom, Sagrada Familia",La sagrada família,"41,40682","2,17859",Private room,"2,0","1,0","59,0",2019-11-04,"95,0",España,Barcelona,2019-12-10
Z-VERD BLAU,Roses,"42,24436369701989","3,2009960270975544",Entire home/apt,"4,0","5,0","142,0",2018-06-09,"90,0",España,Girona,2018-11-26
